customer_id,churn
1-60368-464-6.6,0
1-86023-051-2.13,0
0-01-268670-0.17,0
0-16-887258-7.20,0
0-903119-03-X.43,0
1-917452-13-6.45,0
0-11-279758-X.59,0
0-18-276104-5.71,0
1-06-661619-1.72,0
0-04-728390-4.78,0
1-5322-9179-5.80,0
1-76361-786-6.105,0
1-9849-0477-9.106,0
0-585-59915-7.107,0
0-345-10620-2.109,0
1-79934-744-3.113,0
1-5408-1649-4.137,1
0-480-73359-7.138,0
1-72014-253-X.170,0
0-699-38318-8.176,0
1-323-41982-9.184,0
0-209-58119-0.199,0
0-277-97765-7.206,0
1-5364-1192-2.208,0
1-137-15669-4.216,0
0-922701-94-6.218,0
0-7607-4935-3.230,0
0-13-805512-2.239,0
1-72738-339-7.259,0
1-4325-0493-2.260,0
1-75676-725-4.265,0
0-87055-845-5.273,0
1-67848-224-2.283,0
0-280-75505-8.292,0
0-623-28299-2.297,0
0-434-79418-X.307,0
0-9889900-9-1.311,0
0-921991-60-6.316,0
1-960781-50-2.319,0
1-4937-5642-7.329,0
0-258-86983-6.334,0
0-04-403498-9.337,0
1-168-92225-9.338,0
1-211-41014-5.342,0
0-929234-36-7.344,0
1-58504-032-0.354,0
0-365-89808-2.362,0
0-9988021-8-2.369,0
1-115-05863-0.373,0
0-632-29982-7.375,0
0-8022-2625-6.390,0
0-8384-3290-5.394,0
1-294-12513-3.418,0
1-197-35431-X.423,0
1-136-36984-8.429,0
0-346-99814-X.432,0
0-9987568-0-6.435,0
0-7829-5151-1.438,0
1-73058-431-4.452,0
1-7337384-8-7.495,0
0-244-32586-3.498,0
1-79330-234-0.499,0
0-12-931473-0.501,0
1-286-50213-6.502,0
1-885225-38-5.514,0
0-630-93445-2.520,0
0-352-38872-2.530,0
1-81014-417-5.544,0
1-314-25724-2.552,0
1-65728-787-4.562,0
1-341-58165-9.568,0
1-882765-87-7.570,0
0-04-046614-0.592,0
0-242-51881-8.593,0
1-167-15572-6.602,0
1-4016-2488-X.621,0
1-5073-5044-9.632,0
1-347-49088-4.647,0
0-229-95322-0.648,0
0-7296-2415-3.665,0
0-13-129768-6.698,0
0-672-93872-3.711,0
0-948899-75-1.715,0
0-447-29169-6.739,0
1-78691-498-0.744,0
0-696-65987-5.767,0
1-4337-1036-6.775,0
0-548-98505-7.778,1
0-475-32628-8.792,0
0-7867-3252-0.796,0
1-5378-1482-6.805,0
1-178-72229-5.808,0
1-07-079227-6.818,0
1-276-11760-4.823,0
1-913249-65-4.859,0
1-295-87565-9.865,0
1-203-35141-0.869,1
1-227-49453-X.874,0
0-8060-6458-7.878,0
0-477-91831-X.889,0
1-4497-1612-1.902,0
0-543-38699-6.905,0
0-409-66609-2.911,0
0-502-60061-6.914,1
0-226-58109-8.918,0
1-00-463746-2.942,0
1-182-73661-0.945,0
1-69290-644-5.948,0
1-70659-792-4.956,0
1-66589-067-3.972,0
